what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1331580792387
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1331580795267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580795334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580795355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580807059
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1331580813911
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331580814338
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331580814531
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1331580814684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331580817533
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1331580818577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580822560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580822653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580824828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580839581
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1331580841665
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1331580841946
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1331580842225
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1331580842781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580845856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580848668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580848754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580850596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580860677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580878123
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331580878138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580882667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580933528
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331580936781
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1331580937110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580939808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580956231
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1331580956241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580958463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580972195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580973744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580977529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580981636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580991538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331580992765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581023990
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1331581028773
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1331581028853
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1331581029486
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1331581029519
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1331581029760
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1331581029775
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1331581030958
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1331581031186
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331581038255
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331581038328
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331581066130
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331581066130
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331581067203
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331581072234
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331581072294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331581080054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581083398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581094971
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331581097472
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1331581098644
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1331581098678
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1331581102679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331581102797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581106395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581109798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581116873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331581124083
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331581125482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331581130011
